"Temperature","Rho 1","Rho 2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
50.088,1,0.001,1,0.062208,0.125,0.075,0.19379
50.316,1,0.001,1,0.062464,0.125,0.075,0.19354
50.544,1,0.001,1,0.06272,0.125,0.075,0.19328
50.773,1,0.001,1,0.062976,0.125,0.075,0.19302
51.001,1,0.001,1,0.063232,0.125,0.075,0.19277
51.229,1,0.001,1,0.063488,0.125,0.075,0.19251
51.457,1,0.001,1,0.063744,0.125,0.075,0.19226
51.685,1,0.001,1,0.064,0.125,0.075,0.192
51.914,1,0.001,1,0.064256,0.125,0.075,0.19174
52.142,1,0.001,1,0.064512,0.125,0.075,0.19149
52.37,1,0.001,1,0.064768,0.125,0.075,0.19123
52.598,1,0.001,1,0.065024,0.125,0.075,0.19098
52.826,1,0.001,1,0.06528,0.125,0.075,0.19072
53.054,1,0.001,1,0.065536,0.125,0.075,0.19046
53.283,1,0.001,1,0.065792,0.125,0.075,0.19021
53.511,1,0.001,1,0.066048,0.125,0.075,0.18995
53.739,1,0.001,1,0.066304,0.125,0.075,0.1897
53.967,1,0.001,1,0.06656,0.125,0.075,0.18944
54.195,1,0.001,1,0.066816,0.125,0.075,0.18918
54.423,1,0.001,1,0.067072,0.125,0.075,0.18893
54.652,1,0.001,1,0.067328,0.125,0.075,0.18867
54.88,1,0.001,1,0.067584,0.125,0.075,0.18842
55.108,1,0.001,1,0.06784,0.125,0.075,0.18816
55.336,1,0.001,1,0.068096,0.125,0.075,0.1879
55.564,1,0.001,1,0.068352,0.125,0.075,0.18765
55.792,1,0.001,1,0.068608,0.125,0.075,0.18739
56.021,1,0.001,1,0.068864,0.125,0.075,0.18714
56.249,1,0.001,1,0.06912,0.125,0.075,0.18688
56.477,1,0.001,1,0.069376,0.125,0.075,0.18662
56.705,1,0.001,1,0.069632,0.125,0.075,0.18637
56.933,1,0.001,1,0.069888,0.125,0.075,0.18611
57.161,1,0.001,1,0.070144,0.125,0.075,0.18586
57.39,1,0.001,1,0.0704,0.125,0.075,0.1856
57.618,1,0.001,1,0.070656,0.125,0.075,0.18534
57.846,1,0.001,1,0.070912,0.125,0.075,0.18509
58.074,1,0.001,1,0.071168,0.125,0.075,0.18483
58.302,1,0.001,1,0.071424,0.125,0.075,0.18458
58.53,1,0.001,1,0.07168,0.125,0.075,0.18432
58.723,1,0.001,1,0.071936,0.125,0.075,0.18406
58.916,1,0.001,1,0.072192,0.125,0.075,0.18381
59.109,1,0.001,1,0.072448,0.125,0.075,0.18355
59.302,1,0.001,1,0.072704,0.125,0.075,0.1833
59.495,1,0.001,1,0.07296,0.125,0.075,0.18304
59.688,1,0.001,1,0.073216,0.125,0.075,0.18278
59.881,1,0.001,1,0.073472,0.125,0.075,0.18253
60.074,1,0.001,1,0.073728,0.125,0.075,0.18227
60.267,1,0.001,1,0.073984,0.125,0.075,0.18202
60.46,1,0.001,1,0.07424,0.125,0.075,0.18176
60.653,1,0.001,1,0.074496,0.125,0.075,0.1815
60.846,1,0.001,1,0.074752,0.125,0.075,0.18125
61.039,1,0.001,1,0.075008,0.125,0.075,0.18099
61.232,1,0.001,1,0.075264,0.125,0.075,0.18074
61.425,1,0.001,1,0.07552,0.125,0.075,0.18048
61.618,1,0.001,1,0.075776,0.125,0.075,0.18022
61.811,1,0.001,1,0.076032,0.125,0.075,0.17997
62.004,1,0.001,1,0.076288,0.125,0.075,0.17971
62.197,1,0.001,1,0.076544,0.125,0.075,0.17946
62.39,1,0.001,1,0.0768,0.125,0.075,0.1792
62.583,1,0.001,1,0.077056,0.125,0.075,0.17894
62.776,1,0.001,1,0.077312,0.125,0.075,0.17869
62.969,1,0.001,1,0.077568,0.125,0.075,0.17843
63.162,1,0.001,1,0.077824,0.125,0.075,0.17818
63.355,1,0.001,1,0.07808,0.125,0.075,0.17792
63.548,1,0.001,1,0.078336,0.125,0.075,0.17766
63.741,1,0.001,1,0.078592,0.125,0.075,0.17741
63.934,1,0.001,1,0.078848,0.125,0.075,0.17715
64.127,1,0.001,1,0.079104,0.125,0.075,0.1769
