"Kappa_Tau:0","Kappa_Tau:1","Rho 1","Rho 2","Temperature","Velocity:0","Velocity:1","Velocity:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.021678,3.6442e-05,1,0,59.499,0,0,-1,1,0.027904,0.125,0.075,0.2281
0.021678,3.6442e-05,1,-3.2893e-16,59.86,-2.5165e-15,0,-1,1,0.02816,0.125,0.075,0.22784
0.021678,3.6442e-05,1,0,60.221,0,0,-1,1,0.028416,0.125,0.075,0.22758
0.021678,3.6442e-05,1,0,60.582,0,0,-1,1,0.028672,0.125,0.075,0.22733
0.021678,3.6442e-05,1,0,60.943,0,0,-1,1,0.028928,0.125,0.075,0.22707
0.021678,3.6442e-05,1,0,61.305,0,0,-1,1,0.029184,0.125,0.075,0.22682
0.021678,3.6442e-05,1,0,61.666,0,0,-1,1,0.02944,0.125,0.075,0.22656
0.021678,3.6442e-05,1,0,62.027,0,0,-1,1,0.029696,0.125,0.075,0.2263
0.021678,3.6442e-05,1,0,62.388,0,0,-1,1,0.029952,0.125,0.075,0.22605
0.021678,3.6442e-05,1,0,62.749,0,0,-1,1,0.030208,0.125,0.075,0.22579
0.021678,3.6442e-05,1,0,63.111,0,0,-1,1,0.030464,0.125,0.075,0.22554
0.021678,3.6442e-05,1,1.6446e-16,63.472,1.2582e-15,0,-1,1,0.03072,0.125,0.075,0.22528
0.021678,3.6442e-05,1,0,63.74,0,0,-1,1,0.030976,0.125,0.075,0.22502
0.021678,3.6442e-05,1,0,64.008,0,0,-1,1,0.031232,0.125,0.075,0.22477
0.021678,3.6442e-05,1,0,64.276,0,0,-1,1,0.031488,0.125,0.075,0.22451
0.021678,3.6442e-05,1,0,64.544,0,0,-1,1,0.031744,0.125,0.075,0.22426
0.021678,3.6442e-05,1,0,64.813,0,0,-1,1,0.032,0.125,0.075,0.224
0.021678,3.6442e-05,1,0,65.081,0,0,-1,1,0.032256,0.125,0.075,0.22374
0.021678,3.6442e-05,1,0,65.349,0,0,-1,1,0.032512,0.125,0.075,0.22349
0.021678,3.6442e-05,1,0,65.617,0,0,-1,1,0.032768,0.125,0.075,0.22323
0.021678,3.6442e-05,1,0,65.885,0,0,-1,1,0.033024,0.125,0.075,0.22298
0.021678,3.6442e-05,1,0,66.153,0,0,-1,1,0.03328,0.125,0.075,0.22272
0.021678,3.6442e-05,1,0,66.422,0,0,-1,1,0.033536,0.125,0.075,0.22246
